sample_no,time,current
638,3.19e-07,3.53817e-07
639,3.195e-07,0.000137469
640,3.2e-07,0.000921194
641,3.205e-07,3.53817e-07
642,3.21e-07,3.53817e-07
643,3.215e-07,3.53817e-07
644,3.22e-07,3.53817e-07
645,3.225e-07,3.53817e-07
646,3.23e-07,3.53817e-07
647,3.235e-07,3.53817e-07
648,3.24e-07,3.53817e-07
649,3.245e-07,8.65557e-05
650,3.25e-07,0.000702356
651,3.255e-07,5.65751e-07
652,3.26e-07,3.53817e-07
653,3.265e-07,3.53817e-07
654,3.27e-07,3.53817e-07
655,3.275e-07,3.53817e-07
656,3.28e-07,3.53817e-07
657,3.285e-07,3.53817e-07
658,3.29e-07,3.53817e-07
659,3.295e-07,0.000161148
660,3.3e-07,0.000997136
661,3.305e-07,3.53817e-07
662,3.31e-07,3.53817e-07
663,3.315e-07,3.53817e-07
664,3.32e-07,3.53817e-07
665,3.325e-07,3.53817e-07
666,3.33e-07,3.53817e-07
667,3.335e-07,3.53817e-07
668,3.34e-07,3.53817e-07
669,3.345e-07,8.64981e-05
670,3.35e-07,0.000692392
671,3.355e-07,3.53817e-07
672,3.36e-07,3.53817e-07
673,3.365e-07,3.53817e-07
674,3.37e-07,3.53817e-07
675,3.375e-07,3.53817e-07
676,3.38e-07,3.53817e-07
677,3.385e-07,3.53817e-07
678,3.39e-07,3.53817e-07
679,3.395e-07,0.000417298
680,3.4e-07,0.00156824
681,3.405e-07,3.53817e-07
682,3.41e-07,3.53817e-07
683,3.415e-07,3.53817e-07
684,3.42e-07,3.53817e-07
685,3.425e-07,3.53817e-07
686,3.43e-07,3.53817e-07
687,3.435e-07,3.53817e-07
688,3.44e-07,3.53817e-07
689,3.445e-07,0.000382617
690,3.45e-07,0.00213627
691,3.455e-07,2.45893e-05
692,3.46e-07,3.53817e-07
693,3.465e-07,3.53817e-07
694,3.47e-07,3.53817e-07
695,3.475e-07,3.53817e-07
696,3.48e-07,3.53817e-07
697,3.485e-07,3.53817e-07
698,3.49e-07,3.53817e-07
699,3.495e-07,0.000130256
700,3.5e-07,0.000914241
701,3.505e-07,3.53817e-07
702,3.51e-07,3.53817e-07
703,3.515e-07,3.53817e-07
704,3.52e-07,3.53817e-07
705,3.525e-07,3.53817e-07
706,3.53e-07,3.53817e-07
707,3.535e-07,3.53817e-07
708,3.54e-07,3.53817e-07
709,3.545e-07,0.000315504
710,3.55e-07,0.00205333
711,3.555e-07,2.57471e-05
712,3.56e-07,3.53817e-07
713,3.565e-07,3.53817e-07
714,3.57e-07,3.53817e-07
715,3.575e-07,3.53817e-07
716,3.58e-07,3.53817e-07
717,3.585e-07,3.53817e-07
718,3.59e-07,3.53817e-07
719,3.595e-07,0.000130254
720,3.6e-07,0.000914243
721,3.605e-07,3.53817e-07
722,3.61e-07,3.53817e-07
723,3.615e-07,3.53817e-07
724,3.62e-07,3.53817e-07
725,3.625e-07,3.53817e-07
726,3.63e-07,3.53817e-07
727,3.635e-07,3.53817e-07
728,3.64e-07,3.53817e-07
729,3.645e-07,0.000314227
730,3.65e-07,0.00204944
731,3.655e-07,2.62278e-05
732,3.66e-07,3.53817e-07
733,3.665e-07,3.53817e-07
734,3.67e-07,3.53817e-07
735,3.675e-07,3.53817e-07
736,3.68e-07,3.53817e-07
737,3.685e-07,3.53817e-07
738,3.69e-07,3.53817e-07
739,3.695e-07,0.000130252
740,3.7e-07,0.000914245
741,3.705e-07,3.53817e-07
742,3.71e-07,3.53817e-07
743,3.715e-07,3.53817e-07
744,3.72e-07,3.53817e-07
745,3.725e-07,3.53817e-07
746,3.73e-07,3.53817e-07
747,3.735e-07,3.53817e-07
748,3.74e-07,3.53817e-07
749,3.745e-07,0.000296673
750,3.75e-07,0.00194624
751,3.755e-07,2.49782e-05
752,3.76e-07,3.53817e-07
753,3.765e-07,3.53817e-07
754,3.77e-07,3.53817e-07
755,3.775e-07,3.53817e-07
756,3.78e-07,3.53817e-07
757,3.785e-07,3.53817e-07
758,3.79e-07,3.53817e-07
759,3.795e-07,0.000130249
760,3.8e-07,0.000914247
761,3.805e-07,3.53817e-07
762,3.81e-07,3.53817e-07
763,3.815e-07,3.53817e-07
764,3.82e-07,3.53817e-07
765,3.825e-07,3.53817e-07
766,3.83e-07,3.53817e-07
767,3.835e-07,3.53817e-07
768,3.84e-07,3.53817e-07
769,3.845e-07,0.000289284
770,3.85e-07,0.00190253
771,3.855e-07,2.14543e-05
772,3.86e-07,3.53817e-07
773,3.865e-07,3.53817e-07
774,3.87e-07,3.53817e-07
775,3.875e-07,3.53817e-07
776,3.88e-07,3.53817e-07
777,3.885e-07,3.53817e-07
778,3.89e-07,3.53817e-07
779,3.895e-07,0.000130247
780,3.9e-07,0.000914249
781,3.905e-07,3.53817e-07
782,3.91e-07,3.53817e-07
783,3.915e-07,3.53817e-07
784,3.92e-07,3.53817e-07
785,3.925e-07,3.53817e-07
786,3.93e-07,3.53817e-07
787,3.935e-07,3.53817e-07
788,3.94e-07,3.53817e-07
789,3.945e-07,0.000277122
790,3.95e-07,0.00183089
791,3.955e-07,2.20894e-05
792,3.96e-07,3.53817e-07
793,3.965e-07,3.53817e-07
794,3.97e-07,3.53817e-07
795,3.975e-07,3.53817e-07
796,3.98e-07,3.53817e-07
797,3.985e-07,3.53817e-07
798,3.99e-07,3.53817e-07
799,3.995e-07,0.000130245
800,4e-07,0.000914252
801,4.005e-07,3.53817e-07
802,4.01e-07,3.53817e-07
803,4.015e-07,3.53817e-07
804,4.02e-07,3.53817e-07
805,4.025e-07,3.53817e-07
806,4.03e-07,3.53817e-07
807,4.035e-07,3.53817e-07
808,4.04e-07,3.53817e-07
809,4.045e-07,0.000291541
810,4.05e-07,0.00189151
811,4.055e-07,2.30021e-05
812,4.06e-07,3.53817e-07
813,4.065e-07,3.53817e-07
814,4.07e-07,3.53817e-07
815,4.075e-07,3.53817e-07
816,4.08e-07,3.53817e-07
817,4.085e-07,3.53817e-07
818,4.09e-07,3.53817e-07
819,4.095e-07,0.000130243
820,4.1e-07,0.000914254
821,4.105e-07,3.53817e-07
822,4.11e-07,3.53817e-07
823,4.115e-07,3.53817e-07
824,4.12e-07,3.53817e-07
825,4.125e-07,3.53817e-07
826,4.13e-07,3.53817e-07
827,4.135e-07,3.53817e-07
828,4.14e-07,3.53817e-07
829,4.145e-07,0.000326716
830,4.15e-07,0.00198355
831,4.155e-07,2.60346e-05
832,4.16e-07,3.53817e-07
833,4.165e-07,3.53817e-07
834,4.17e-07,3.53817e-07
835,4.175e-07,3.53817e-07
836,4.18e-07,3.53817e-07
837,4.185e-07,3.53817e-07
838,4.19e-07,3.53817e-07
839,4.195e-07,0.000130241
840,4.2e-07,0.000914256
841,4.205e-07,3.53817e-07
